,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
301,,nissan juke,gas,std,two,hatchback,fwd,front,,181.1,66.3,55.8,2681,ohc,four,122,2bbl,3.56,3.09,12.1,102,4801,26,31,10368
302,1,nissan latio,gas,std,four,sedan,fwd,front,101.4,181.1,66.3,55.8,2681,ohc,four,122,2bbl,3.57,3.09,12.1,102,4799,26,31,10353
303,1,nissan note,gas,std,four,wagon,fwd,front,101.4,181.1,66.3,55.8,2682,ohc,four,122,2bbl,3.57,3.09,12.2,102,4797,26,31,10338
304,1,nissan clipper,gas,std,two,hardtop,fwd,front,101.4,181.2,66.3,55.8,2683,ohc,four,,2bbl,3.57,3.08,12.2,102,4796,26,31,10324
305,1,nissan rogue,gas,std,four,hatchback,fwd,front,101.4,181.2,66.3,55.9,2683,ohc,four,122,2bbl,3.57,3.08,12.2,102,4794,26,31,10309
306,1,nissan nv201,gas,std,four,sedan,fwd,front,101.4,181.3,66.3,55.9,2684,ohc,four,122,2bbl,3.57,3.08,12.2,102,4792,26,31,10294
307,1,nissan dayz,gas,std,four,sedan,fwd,front,101.4,181.3,66.3,55.9,2684,ohcv,six,122,mpfi,3.57,3.08,12.2,102,4791,26,31,10280
308,1,nissan fuga,gas,std,four,wagon,fwd,front,101.5,181.3,66.3,55.9,2685,ohcv,six,122,mpfi,3.57,3.08,12.2,102,4789,26,31,10265
309,1,nissan otti,gas,std,four,sedan,fwd,front,101.5,181.4,66.3,55.9,2686,ohcv,six,122,mpfi,,3.08,12.2,102,4788,26,31,10250
310,1,nissan teana,gas,std,two,hatchback,rwd,front,101.5,181.4,66.3,55.9,2686,ohcv,six,122,mpfi,3.58,3.08,12.2,102,4786,26,31,10236
311,1,nissan kicks,gas,turbo,two,hatchback,rwd,front,101.5,181.4,66.3,55.9,2687,ohcv,six,122,mpfi,3.58,3.08,12.2,102,4784,26,31,10221
312,1,nissan clipper,gas,std,two,hatchback,rwd,front,101.5,181.5,66.3,55.9,2688,ohcv,six,122,mpfi,3.58,3.08,12.2,102,4783,26,31,10206
313,1,peugeot 104,gas,std,four,sedan,rwd,front,101.5,181.5,66.3,55.9,2688,l,four,122,mpfi,3.58,3.08,12.3,102,4781,,31,
314,1,peugeot 96,diesel,turbo,four,sedan,rwd,front,101.5,181.5,66.3,55.9,2689,l,four,122,idi,3.58,3.08,12.3,102,4779,26,31,10177
315,1,peugeot 504 (sw),gas,std,four,wagon,rwd,front,101.5,181.6,66.3,56,2689,l,four,122,mpfi,3.58,3.08,12.3,102,4778,26,31,10162
316,1,peugeot 504,diesel,turbo,four,wagon,rwd,front,101.6,181.6,66.3,56,2690,l,four,122,idi,3.58,3.07,12.3,102,4776,26,31,10147
